text,category,urgency,timestamp,has_photo
Basement shower drain partially clogged.,plumbing,semi-urgent,2025-02-18 09:19:48.674110,True
Oven clock reset needed.,appliance,non-urgent,2025-02-08 07:14:24.465920,True
Several ant spotted in bathroom.,pest,semi-urgent,2025-02-09 15:20:20.825646,True
Toilet in bathroom occasionally runs.,plumbing,non-urgent,2025-02-03 09:14:29.568411,False
Silverfish in dining room bathroom.,pest,semi-urgent,2025-02-16 23:19:18.026007,False
AC leaking heavily into electrical outlet in hallway.,hvac,urgent,2025-02-17 00:19:54.805412,True
Carbon monoxide detector alarming near kitchen heater.,hvac,urgent,2025-02-18 05:43:05.220580,False
One vent not working in bathroom.,hvac,non-urgent,2025-02-10 07:49:19.278467,False
Occasional ant in dining room.,pest,non-urgent,2025-02-17 05:58:52.322080,False
Fruit flies in office.,pest,non-urgent,2025-02-13 12:28:15.625545,False
Building directory needs updating.,miscellaneous,non-urgent,2025-02-21 16:59:41.487529,False
Recurring spiders in living room.,pest,semi-urgent,2025-02-28 20:19:14.735190,True
Sink stopper in balcony not working properly.,plumbing,non-urgent,2025-02-19 04:41:24.180083,False
Stairs collapsed in closet.,structural,urgent,2025-02-07 05:28:31.427053,False
"Washing machine overflowing, getting worse quickly.",appliance,urgent,2025-02-23 06:49:54.252245,True
Washing machine making slight noise during spin cycle.,appliance,non-urgent,2025-02-07 04:31:59.755131,False
Circuit breaker for bedroom making strange noise.,electrical,semi-urgent,2025-02-19 17:44:23.091314,True
"Refrigerator completely stopped working, unable to stay in apartment.",appliance,urgent,2025-02-24 11:51:13.660636,True
Package delivery shelf damaged.,miscellaneous,non-urgent,2025-02-03 07:23:11.665462,False
Water leaking onto electrical box in living room.,electrical,urgent,2025-02-12 14:09:39.454734,True
Few houseflies in kitchen.,pest,non-urgent,2025-02-11 17:16:40.985711,False
Moth infestation in laundry room closet.,pest,semi-urgent,2025-02-10 21:05:32.210247,True
Dishwasher rack missing wheel.,appliance,non-urgent,2025-02-22 11:50:20.474807,True
Minor temperature fluctuation in closet.,hvac,non-urgent,2025-02-15 20:33:58.651808,False
AC leaking heavily into electrical outlet in laundry room.,hvac,urgent,2025-02-17 02:54:35.985895,False
Minor cobwebs in dining room windows.,pest,non-urgent,2025-02-22 05:56:27.762768,False
Doorbell sound distorted.,electrical,non-urgent,2025-02-07 13:21:23.308108,False
"Bathroom floor making loud banging noise, need immediate attention.",structural,urgent,2025-02-03 05:50:05.576599,False
Slight delay when adjusting thermostat.,hvac,non-urgent,2025-02-22 22:19:41.965449,True
Heating vent cover fell off in balcony.,hvac,semi-urgent,2025-02-04 22:35:19.229945,False
Hot water tank leaking heavily in office.,plumbing,urgent,2025-02-28 00:47:53.085137,False
Stove burner not lighting.,appliance,semi-urgent,2025-02-16 11:38:28.311162,True
"Bathroom pipe burst, water everywhere.",plumbing,urgent,2025-02-16 22:56:19.690556,False
"Bathroom pipe burst, water everywhere.",plumbing,urgent,2025-02-02 19:09:42.371418,False
Kitchen sink is overflowing onto the floor.,plumbing,urgent,2025-02-13 06:24:50.019083,False
One outlet not working in laundry room.,electrical,non-urgent,2025-02-07 12:27:57.972646,False
Stove burner not lighting.,appliance,semi-urgent,2025-02-02 22:28:28.589993,False
"Bathroom fan not working, causing humidity issues.",electrical,semi-urgent,2025-02-10 15:26:48.011771,True
Washing machine malfunctioning mid-cycle.,appliance,semi-urgent,2025-02-28 17:26:10.759910,False
Slow drain in laundry room sink.,plumbing,semi-urgent,2025-02-24 04:53:27.898070,False
Minor leak under entryway sink.,plumbing,semi-urgent,2025-02-09 01:40:56.202321,False
Paint peeling in hallway.,structural,non-urgent,2025-02-13 00:48:59.586014,False
Slight noise from balcony AC unit.,hvac,non-urgent,2025-02-03 18:38:52.435315,False
Gas stove burner won't turn off.,appliance,urgent,2025-02-16 10:53:00.821234,True
Squeaky floorboard in basement.,miscellaneous,non-urgent,2025-02-22 11:29:51.746501,False
Ice maker leaking water onto floor.,appliance,semi-urgent,2025-02-23 19:49:29.588414,True
"Fire damage in living room, extremely unsafe.",miscellaneous,urgent,2025-02-26 14:10:21.288158,True
Mice chewed through electrical wiring in hallway.,pest,urgent,2025-02-14 22:20:08.093597,True
"Window shattered in laundry room, unable to stay in apartment.",structural,urgent,2025-02-01 16:39:23.141918,False
Low water pressure in living room.,plumbing,semi-urgent,2025-02-24 07:31:33.703932,False
Minor cobwebs in kitchen windows.,pest,non-urgent,2025-02-04 18:37:15.229577,True
"Door to balcony won't lock, emergency situation.",structural,urgent,2025-02-19 14:49:56.622318,True
Refrigerator making loud grinding noise and not cooling.,appliance,urgent,2025-02-22 23:08:33.377274,True
"Door to hallway won't lock, children in home.",structural,urgent,2025-02-25 06:16:36.420131,False
Small hole in kitchen wall.,structural,semi-urgent,2025-02-28 15:25:13.240304,False
Package delivery shelf damaged.,miscellaneous,non-urgent,2025-02-18 02:08:03.693332,False
Refrigerator making loud grinding noise and not cooling.,appliance,urgent,2025-02-17 10:29:17.155965,False
Sink in closet drains slowly.,plumbing,non-urgent,2025-02-28 03:12:17.458035,False
Furnace cycles on and off repeatedly.,hvac,semi-urgent,2025-02-12 14:04:57.377578,False
Neighbor's sewage leaking into my apartment.,miscellaneous,urgent,2025-02-21 04:01:59.819231,True
"Large crack in bathroom wall, emergency situation.",structural,urgent,2025-02-25 14:01:19.944385,True
Small wasp nest forming outside hallway window.,pest,semi-urgent,2025-02-16 09:35:52.549203,False
Flickering lights in living room.,electrical,semi-urgent,2025-02-16 01:29:15.519286,True
Small chip in laundry room countertop.,structural,non-urgent,2025-02-08 11:17:36.105845,False
Mailbox broken into.,miscellaneous,semi-urgent,2025-02-26 18:23:31.138066,True
Range hood fan not working.,appliance,semi-urgent,2025-02-12 01:54:17.638517,True
Weak airflow from vents in dining room.,hvac,semi-urgent,2025-02-09 11:01:32.443245,True
Curtain rod loose in living room.,structural,non-urgent,2025-02-12 07:20:13.409974,False
"Clogged hallway toilet, recurring problem.",plumbing,semi-urgent,2025-02-24 06:15:03.650169,False
"Break-in attempt, hallway window damaged.",miscellaneous,urgent,2025-02-01 05:21:19.016701,True
Single cockroach spotted in entryway.,pest,non-urgent,2025-02-23 00:28:07.936465,False
Living room door squeaks when opening.,structural,non-urgent,2025-02-01 20:01:25.403467,False
AC not cooling balcony properly.,hvac,semi-urgent,2025-02-27 07:52:33.204301,False
Baseboard separating from wall in closet.,structural,non-urgent,2025-02-20 00:38:09.552419,False
Half of outlets not working in kitchen.,electrical,semi-urgent,2025-02-06 06:39:31.719151,True
"Front door lock broken, cannot secure apartment.",miscellaneous,urgent,2025-02-11 10:08:42.016000,False
Ice maker leaking water onto floor.,appliance,semi-urgent,2025-02-01 10:34:18.274678,False
Security camera not working at closet entrance.,miscellaneous,semi-urgent,2025-02-01 21:39:31.740440,False
Basement sink not closing properly.,plumbing,semi-urgent,2025-02-03 07:02:27.476391,True
Single cockroach spotted in bathroom.,pest,non-urgent,2025-02-27 12:27:24.237087,False
AC unit sparking with electrical smell.,hvac,urgent,2025-02-11 11:53:35.189543,True
AC leaking heavily into electrical outlet in closet.,hvac,urgent,2025-02-23 01:49:32.779719,True
"Front door lock broken, cannot secure apartment.",miscellaneous,urgent,2025-02-13 23:22:07.619414,True
"No heat in apartment, need immediate attention.",hvac,urgent,2025-02-18 17:29:29.099844,True
Laundry room toilet overflowing onto floor.,plumbing,urgent,2025-02-24 00:36:22.134713,False
Recycle bin missing lid.,miscellaneous,non-urgent,2025-02-23 23:00:53.408108,True
Loose tiles in bathroom floor.,structural,semi-urgent,2025-02-16 18:19:53.664536,False
Multiple scorpions spotted in bedroom.,pest,urgent,2025-02-11 13:07:42.200532,True
Balcony railing is loose and unstable.,structural,urgent,2025-02-25 14:30:03.088108,False
Balcony railing is loose and unstable.,structural,urgent,2025-02-22 14:11:30.853210,True
Community room blinds damaged.,miscellaneous,non-urgent,2025-02-22 10:41:51.821400,False
Fruit flies in laundry room.,pest,non-urgent,2025-02-28 15:57:05.147391,False
Loose tiles in living room floor.,structural,semi-urgent,2025-02-23 09:59:52.601684,False
Security camera not working at bathroom entrance.,miscellaneous,semi-urgent,2025-02-27 02:47:28.748621,True
"Door to entryway won't lock, water damage spreading rapidly.",structural,urgent,2025-02-16 10:43:44.723109,False
Stove burner not lighting.,appliance,semi-urgent,2025-02-03 05:06:03.275617,False
Entire ceiling water damaged and sagging dangerously.,miscellaneous,urgent,2025-02-04 05:56:34.622086,False
Heat working intermittently in dining room.,hvac,semi-urgent,2025-02-27 23:49:31.178183,True
Furnace cycles on and off repeatedly.,hvac,semi-urgent,2025-02-05 10:09:34.466940,False
Shower head in bedroom sprays unevenly.,plumbing,non-urgent,2025-02-05 04:07:15.010092,False
Flickering lights in kitchen.,electrical,semi-urgent,2025-02-21 09:07:13.686622,False
Water pressure fluctuates in bathroom.,plumbing,non-urgent,2025-02-27 03:25:29.801003,False
Hallway light timer too short.,miscellaneous,non-urgent,2025-02-18 00:18:08.617303,False
Found a snake in kitchen.,pest,urgent,2025-02-04 21:00:13.596514,False
Small hole in bedroom wall.,structural,semi-urgent,2025-02-03 23:55:41.330239,True
Motion sensor light staying on in entryway.,electrical,non-urgent,2025-02-09 09:05:07.422210,False
Window in hallway won't close properly.,structural,semi-urgent,2025-02-11 22:21:47.925535,True
Hot water not working in living room.,plumbing,semi-urgent,2025-02-08 06:49:29.894477,True
"Bathroom pipe burst, water everywhere.",plumbing,urgent,2025-02-07 16:28:38.133641,False
Stairs collapsed in living room.,structural,urgent,2025-02-08 19:08:11.918506,True
Heat not working and temperature below freezing inside.,hvac,urgent,2025-02-03 09:21:53.367892,True
Buzzing sound from office outlet.,electrical,semi-urgent,2025-02-19 22:11:00.584537,False
"Window shattered in office, getting worse quickly.",structural,urgent,2025-02-11 01:14:02.558289,True
Dining room toilet overflowing onto floor.,plumbing,urgent,2025-02-26 16:32:22.541501,True
Oven clock reset needed.,appliance,non-urgent,2025-02-28 09:19:55.298289,False
Vent cover loose in office.,hvac,non-urgent,2025-02-24 22:45:24.868933,False
Minor cobwebs in entryway windows.,pest,non-urgent,2025-02-22 08:49:02.467614,False
Microwave light bulb burnt out.,appliance,non-urgent,2025-02-01 02:59:25.540365,False
Few gnats around dining room plants.,pest,non-urgent,2025-02-12 12:05:48.742074,False
Closet faucet not working properly.,plumbing,semi-urgent,2025-02-04 09:04:50.595737,True
Bathroom fan making slight noise.,electrical,non-urgent,2025-02-12 15:53:35.414517,False
Black widow spiders found in bedroom with children in home.,pest,urgent,2025-02-03 05:02:20.134122,False
Heat working intermittently in dining room.,hvac,semi-urgent,2025-02-13 20:49:52.492038,False
Recycle bin missing lid.,miscellaneous,non-urgent,2025-02-26 16:30:42.306964,False
Fruit flies in closet.,pest,non-urgent,2025-02-13 14:20:52.228312,True
Closet door squeaks when opening.,structural,non-urgent,2025-02-21 15:17:20.851054,False
Mailbox number faded.,miscellaneous,non-urgent,2025-02-01 05:25:04.958909,False
Outlet cover missing in entryway.,electrical,non-urgent,2025-02-26 12:34:47.777092,False
Carbon monoxide detector alarming in laundry room.,miscellaneous,urgent,2025-02-25 16:01:27.695667,True
Grouting coming out between tiles in living room.,structural,semi-urgent,2025-02-14 05:50:15.670599,True
Water pressure fluctuates in basement.,plumbing,non-urgent,2025-02-05 05:21:29.377035,True
Carbon monoxide detector alarming in kitchen.,miscellaneous,urgent,2025-02-08 06:49:55.244784,False
Weatherstripping coming off balcony window.,structural,non-urgent,2025-02-18 08:13:27.130414,False
Buzzing sound from hallway outlet.,electrical,semi-urgent,2025-02-28 05:47:44.417356,True
Gas stove burner won't turn off.,appliance,urgent,2025-02-08 01:37:29.848106,False
Slight discoloration on balcony ceiling.,structural,non-urgent,2025-02-25 18:34:39.333764,True
Uneven heating in different rooms.,hvac,non-urgent,2025-02-09 15:36:10.123925,False
"Exposed wires in kitchen, unable to stay in apartment.",electrical,urgent,2025-02-17 10:20:59.755312,False
Weak airflow from vents in entryway.,hvac,semi-urgent,2025-02-05 22:04:00.689003,False
Laundry room faucet stopped working.,plumbing,semi-urgent,2025-02-12 15:24:00.611368,False
"Office floor smoking, water damage spreading rapidly.",structural,urgent,2025-02-28 04:06:32.187784,True
Kitchen door squeaks when opening.,structural,non-urgent,2025-02-06 07:36:40.730596,False
Thermostat in entryway running constantly.,hvac,semi-urgent,2025-02-05 22:01:48.282779,False
"Suspicious gas smell in bedroom, caused injury.",miscellaneous,urgent,2025-02-04 08:14:14.609668,True
Oven not heating to correct temperature.,appliance,semi-urgent,2025-02-14 19:22:44.947872,True
Multiple scorpions spotted in basement.,pest,urgent,2025-02-13 14:45:05.054806,False
Dishwasher leaking all over basement floor.,appliance,urgent,2025-02-19 03:26:08.175908,False
Thermostat display flickering in living room.,hvac,non-urgent,2025-02-26 07:35:31.575575,False
Minor temperature fluctuation in closet.,hvac,non-urgent,2025-02-13 09:57:11.918415,False
Small hole in entryway wall.,structural,semi-urgent,2025-02-04 21:49:53.529366,True
Furnace cycles on and off repeatedly.,hvac,semi-urgent,2025-02-04 00:33:01.150398,True
AC unit failed completely with electrical smell.,hvac,urgent,2025-02-11 10:25:06.909555,False
Dimmer switch not dimming smoothly in bedroom.,electrical,non-urgent,2025-02-16 17:40:33.431186,False
"HVAC system completely failed, caused injury.",hvac,urgent,2025-02-06 22:57:37.505943,True
Loose doorknob in bathroom.,structural,non-urgent,2025-02-08 10:12:52.578164,False
AC unit vibrating slightly in hallway.,hvac,non-urgent,2025-02-28 09:10:42.319144,False
Single rat spotted in laundry room.,pest,non-urgent,2025-02-06 02:16:45.037984,False
Minor dent in kitchen wall.,structural,non-urgent,2025-02-17 18:29:26.139782,False
"Sewage backing up in basement, safety hazard.",plumbing,urgent,2025-02-18 15:22:29.262506,True
Spider webs in entryway corner.,pest,non-urgent,2025-02-02 20:17:33.891962,False
Silverfish in laundry room bathroom.,pest,semi-urgent,2025-02-02 16:15:41.549363,True
Multiple scorpions spotted in bedroom.,pest,urgent,2025-02-03 18:35:01.795449,True
Single light bulb out in bedroom.,electrical,non-urgent,2025-02-21 16:23:49.695986,False
Air conditioner making strange noise in hallway.,hvac,semi-urgent,2025-02-13 09:09:49.305825,True
Microwave stopped heating food.,appliance,semi-urgent,2025-02-04 04:34:39.751175,True
Evidence of cockroach in closet cabinets.,pest,semi-urgent,2025-02-10 23:58:01.148971,False
Half of outlets not working in balcony.,electrical,semi-urgent,2025-02-26 10:08:00.182636,False
Freezer door not sealing perfectly.,appliance,non-urgent,2025-02-18 22:24:05.857937,True
Few gnats around dining room plants.,pest,non-urgent,2025-02-13 05:58:53.180151,True
Occasional mouse sightings in closet.,pest,semi-urgent,2025-02-17 01:40:30.992224,False
Smoke detector not working properly in basement.,miscellaneous,semi-urgent,2025-02-10 03:56:17.899276,False
Freezer door not sealing perfectly.,appliance,non-urgent,2025-02-13 22:30:00.955756,False
Strong gas smell from living room heater.,hvac,urgent,2025-02-14 19:02:36.985607,True
Black widow spiders found in entryway with children in home.,pest,urgent,2025-02-26 08:15:30.440647,True
Package delivery shelf damaged.,miscellaneous,non-urgent,2025-02-19 15:36:19.051097,True
Low water pressure in balcony.,plumbing,semi-urgent,2025-02-07 12:51:38.638439,True
Furnace cycles on and off repeatedly.,hvac,semi-urgent,2025-02-27 12:47:47.589509,True
Carbon monoxide detector alarming in basement.,miscellaneous,urgent,2025-02-04 17:10:05.586703,False
Dishwasher rack missing wheel.,appliance,non-urgent,2025-02-03 06:10:28.368876,False
One outlet not working in entryway.,electrical,non-urgent,2025-02-12 20:43:28.289559,True
AC leaking heavily into electrical outlet in dining room.,hvac,urgent,2025-02-04 02:31:04.426019,True
"Multiple circuit breakers tripping, affecting multiple units.",electrical,urgent,2025-02-18 03:58:53.785412,True
Sink in bedroom drains slowly.,plumbing,non-urgent,2025-02-26 09:24:22.057065,False
Laundry room sink running constantly.,plumbing,semi-urgent,2025-02-13 04:52:53.957416,True
"Break-in attempt, laundry room window damaged.",miscellaneous,urgent,2025-02-09 13:18:07.659618,True
Freezer door not sealing perfectly.,appliance,non-urgent,2025-02-09 18:36:26.909632,False
Outlet cover missing in dining room.,electrical,non-urgent,2025-02-12 18:28:59.182182,False
Cabinet doors in office won't stay closed.,structural,semi-urgent,2025-02-13 00:53:04.982567,True
"Door to bathroom won't lock, elderly resident needs assistance.",structural,urgent,2025-02-16 00:20:42.462619,False
Minor ceiling damage in entryway.,structural,semi-urgent,2025-02-10 03:11:41.357248,False
Refrigerator ice maker working intermittently.,appliance,non-urgent,2025-02-10 16:25:02.952151,False
Occasional mouse sightings in hallway.,pest,semi-urgent,2025-02-08 00:24:24.112884,False
Oven clock reset needed.,appliance,non-urgent,2025-02-07 10:24:10.880020,False
Refrigerator making loud grinding noise and not cooling.,appliance,urgent,2025-02-19 01:27:38.843460,True
Evidence of beetle in kitchen cabinets.,pest,semi-urgent,2025-02-08 19:16:46.003943,True
"Fire damage in closet, affecting multiple units.",miscellaneous,urgent,2025-02-17 12:11:36.632275,False
Water gushing from under living room sink.,plumbing,urgent,2025-02-12 09:07:10.512775,True
Minor scratch on entryway floor.,structural,non-urgent,2025-02-05 06:42:28.605636,False
Small chip in kitchen countertop.,structural,non-urgent,2025-02-19 07:07:18.863757,True
"Door to laundry room won't lock, children in home.",structural,urgent,2025-02-13 01:39:58.589426,True
Small crack in closet wall.,structural,semi-urgent,2025-02-23 06:59:38.283863,False
Low water pressure in basement.,plumbing,semi-urgent,2025-02-14 02:57:53.660994,True
Weak airflow from vents in basement.,hvac,semi-urgent,2025-02-09 09:01:53.660326,False
Recycle bin missing lid.,miscellaneous,non-urgent,2025-02-25 00:35:13.493277,False
Some living room floor boards are warped.,structural,semi-urgent,2025-02-06 21:32:35.050279,True
Loose doorknob in living room.,structural,non-urgent,2025-02-05 13:18:12.629186,False
Mailbox broken into.,miscellaneous,semi-urgent,2025-02-06 23:10:23.535028,True
Refrigerator not working properly but still somewhat cool.,appliance,semi-urgent,2025-02-13 01:15:57.621324,False
Balcony sink not closing properly.,plumbing,semi-urgent,2025-02-24 02:21:03.065220,False
Stove burner not lighting.,appliance,semi-urgent,2025-02-17 09:42:28.507359,True
Several beetle spotted in bathroom.,pest,semi-urgent,2025-02-28 10:34:41.013800,True
Neighbor's sewage leaking into my apartment.,miscellaneous,urgent,2025-02-12 03:26:20.779808,False
Thermostat in living room not working properly.,hvac,semi-urgent,2025-02-23 22:19:59.637860,False
Main electrical panel smoking.,electrical,urgent,2025-02-28 22:44:17.845124,True
Major water leak coming through bathroom ceiling.,plumbing,urgent,2025-02-09 19:21:19.592109,True
One outlet not working in entryway.,electrical,non-urgent,2025-02-25 10:44:47.460358,False
Ceiling fan wobbling slightly in bedroom.,electrical,non-urgent,2025-02-09 06:15:22.389103,False
"Window shattered in laundry room, health risk.",structural,urgent,2025-02-10 16:18:05.914889,True
"Multiple circuit breakers tripping, children in home.",electrical,urgent,2025-02-04 17:45:29.464322,True
Fruit flies in balcony.,pest,non-urgent,2025-02-03 20:56:44.755909,False
Dishwasher leaking all over basement floor.,appliance,urgent,2025-02-05 07:38:11.201562,True
Oven not heating to correct temperature.,appliance,semi-urgent,2025-02-02 06:01:37.196349,True
Door to kitchen cracked.,structural,semi-urgent,2025-02-25 09:31:43.817037,False
Paint peeling in balcony.,structural,non-urgent,2025-02-16 11:46:03.534898,False
Paint peeling in living room.,structural,non-urgent,2025-02-22 12:18:23.438598,False
"Bed bugs found throughout apartment, elderly resident needs assistance.",pest,urgent,2025-02-18 04:53:44.276455,False
AC unit completely broken with electrical smell.,hvac,urgent,2025-02-05 20:35:28.661593,True
Heat not working and temperature below freezing inside.,hvac,urgent,2025-02-08 14:51:10.927004,False
"Strange odor in kitchen, inconvenient but manageable.",miscellaneous,semi-urgent,2025-02-21 10:31:54.576724,False
Found a snake in bathroom.,pest,urgent,2025-02-05 08:07:23.207442,False
Neighbor's sewage leaking into my apartment.,miscellaneous,urgent,2025-02-20 17:07:26.156384,True
Slow drain in dining room sink.,plumbing,semi-urgent,2025-02-24 19:50:24.250654,True
GFI outlet in kitchen won't reset.,electrical,semi-urgent,2025-02-05 01:00:15.607229,False
Ice maker leaking water onto floor.,appliance,semi-urgent,2025-02-20 00:39:39.955920,True
